programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Pre-master Communicatie en Beïnvloeding,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56826,1001O6059,5dfbfcef-e14c-407c-9499-a0ac79fcb714,VOLTIJD,NLD,Nijmegen,,Pre-master Communicatie en Beïnvloeding | Communicatie- en Informatiewetenschappen | Communication and Information Studies | Pre-Master's Communication and Persuasion,1
Pre-master Europese Studies,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56805,1001O6009,806bf6a7-f08d-4d0a-b25f-112fdc9a7168,VOLTIJD,NLD,Nijmegen,,Pre-master Europese Studies | Duitse Taal en Cultuur | German Language and Culture | Pre-Master's European Studies,1
Pre-master Geschiedenis: Ancient and Medieval Mediterranean Worlds,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56034,1001O5822,9995c1cb-e481-4c12-9791-7ae7015ff4d0,VOLTIJD,ENG,Nijmegen,,Pre-master Geschiedenis: Ancient and Medieval Mediterranean Worlds | Geschiedenis | History | Pre-Master's History: Ancient and Medieval Mediterranean Worlds,1
Pre-master Geschiedenis: Geschiedenis en Actualiteit,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56034,1001O5822,663d33da-a6ad-4bec-8d6e-d7c7641d5625,VOLTIJD,NLD,Nijmegen,,Pre-master Geschiedenis: Geschiedenis en Actualiteit | Geschiedenis | History | Pre-Master's History: Modern and Contemporary History,1
Pre-master Geschiedenis: Politiek en Parlement,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56034,1001O5822,2ab0ae95-f0d7-4e99-bc87-49b3b64c3585,VOLTIJD,NLD,Nijmegen,,Pre-master Geschiedenis: Politiek en Parlement | Geschiedenis | History | Pre-Master's History: Politics and Parliament,1
Pre-master Global Communication and Diversity,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56826,1001O6059,a7060475-5c3b-47f4-a069-3a07e2b8df49,VOLTIJD,ENG,Nijmegen,,Pre-master Global Communication and Diversity | Communicatie- en Informatiewetenschappen | Communication and Information Studies | Pre-Master's Global Communication and Diversity,1
Pre-master Kunst- & Cultuurwetenschappen,Algemene Cultuurwetenschappen,Arts and Culture Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56823,1001O6045,f0ede05f-7f96-4c5d-b451-30e80c9ae321,VOLTIJD,NLD,Nijmegen,,Pre-master Kunst- & Cultuurwetenschappen | Algemene Cultuurwetenschappen | Arts and Culture Studies | Pre-Master's Arts & Culture Studies,1
Pre-master Kunst- & cultuurwetenschappen: Creative Industries,Algemene Cultuurwetenschappen,Arts and Culture Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56823,1001O6045,4a31db37-45dd-41a6-89d9-32f04f5eb85e,VOLTIJD,ENG,Nijmegen,,Pre-master Kunst- & cultuurwetenschappen: Creative Industries | Algemene Cultuurwetenschappen | Arts and Culture Studies | Pre-Master's Arts & Culture: Creative Industries,1
Pre-master Kunst- & cultuurwetenschappen: Kunstbeleid en Kunstbedrijf,Algemene Cultuurwetenschappen,Arts and Culture Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56823,1001O6045,a5d5bbe5-dcc7-4e8a-8d92-a186a33abe85,VOLTIJD,NLD,Nijmegen,,Pre-master Kunst- & cultuurwetenschappen: Kunstbeleid en Kunstbedrijf | Algemene Cultuurwetenschappen | Arts and Culture Studies | Pre-Master's Arts & Culture: Cultural Policy and the Business of Art,1
Pre-master Kunst- & cultuurwetenschappen: Kunstgeschiedenis,Kunstgeschiedenis,Art History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56824,1001O6053,b22caf59-f650-4005-876c-cba4b6ebfbb0,VOLTIJD,NLD,Nijmegen,,Pre-master Kunst- & cultuurwetenschappen: Kunstgeschiedenis | Kunstgeschiedenis | Art History | Pre-Master's Arts & Culture: Art History,1
