programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Pre-master Biology: Adaptive Organisms,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,d52e137c-f266-41c3-b37a-21ce95613743,VOLTIJD,ENG,Nijmegen,,Pre-master Biology: Adaptive Organisms | Biology | Pre-Master's Biology: Adaptive Organisms,1
Pre-master Biology: Conservation and Restoration Ecology,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,5a25fa42-20bb-4dbe-8ea7-4e79dc42b3d1,VOLTIJD,ENG,Nijmegen,,Pre-master Biology: Conservation and Restoration Ecology | Biology | Pre-Master's Biology: Conservation and Restoration Ecology,1
Pre-master Biology: Environment and Sustainability,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,713fbe83-f9df-4cb8-8e60-6bfb2cae64de,VOLTIJD,NLD,Nijmegen,,Pre-master Biology: Environment and Sustainability | Biology | Pre-Master's Biology: Environment and Sustainability,1
Pre-master Biology: Microbiology,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,dcb72bad-9029-4061-9d44-72070626f816,VOLTIJD,ENG,Nijmegen,,Pre-master Biology: Microbiology | Biology | Pre-Master's Biology: Microbiology,1
Pre-master Computing Science: Cyber Security,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,8d19f761-6a96-4890-ab05-5cbfbbc84a12,VOLTIJD,ENG,Nijmegen,,Pre-master Computing Science: Cyber Security | Computing Science | Pre-Master's Computing Science: Cyber Security,1
Pre-master Computing Science: Cyber Security and AI,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,5fc104cc-63ae-4c2d-bad5-ece4a4342590,VOLTIJD,ENG,Nijmegen,,Pre-master Computing Science: Cyber Security and AI | Computing Science | Pre-Master's Computing Science: Cyber Security and AI,1
Pre-master Computing Science: Data Science,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,b63a44fe-c0dd-4849-b2f1-c83ee2d12e59,VOLTIJD,ENG,Nijmegen,,Pre-master Computing Science: Data Science | Computing Science | Pre-Master's Computing Science: Data Science,1
Pre-master Computing Science: Data Science and AI,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,e4a27e9f-c62a-4a0c-b35a-3ca775ad6457,VOLTIJD,NLD,Nijmegen,,Pre-master Computing Science: Data Science and AI | Computing Science | Pre-Master's Computing Science: Data Science and AI,1
Pre-master Computing Science: Mathematical Foundations of Computer Science,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,66a8e6b8-6107-4265-9c4f-d26a2807ebeb,VOLTIJD,ENG,Nijmegen,,Pre-master Computing Science: Mathematical Foundations of Computer Science | Computing Science | Pre-Master's Computing Science: Mathematical Foundations of Computer Science,1
Pre-master Computing Science: Software Science,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,1553a2bb-a6b6-4d11-aa9d-3bb19c91f287,VOLTIJD,ENG,Nijmegen,,Pre-master Computing Science: Software Science | Computing Science | Pre-Master's Computing Science: Software Science,1
Pre-master Crop Biotechnology and Engineering,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,310b7d15-9533-414b-9ea3-14589139cda6,VOLTIJD,ENG,Nijmegen,,Pre-master Crop Biotechnology and Engineering | Biology | Pre-Master's Crop Biotechnology and Engineering,1
Pre-master Information Sciences,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,a44db278-7bb6-49ee-a929-0c8369065bc6,VOLTIJD,ENG,Nijmegen,,Pre-master Information Sciences | Computing Science | Pre-Master's Information Sciences,1
Pre-master Mathematics,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56980,1001O6181,b247e988-f90d-41ed-b60c-d55c740659d6,VOLTIJD,NLD,Nijmegen,,Pre-master Mathematics | Wiskunde | Mathematics | Pre-Master's Mathematics,1
Pre-master Medical Biology: Human Biology,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,01e71827-9563-4fe4-93e1-d5070c0575b1,VOLTIJD,ENG,Nijmegen,,Pre-master Medical Biology: Human Biology | Biology | Pre-Master's Medical Biology: Human Biology,1
Pre-master Medical Biology: Medical Epigenomics,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,99c12f77-67cd-4c4e-8c95-8512eff8c9a4,VOLTIJD,ENG,Nijmegen,,Pre-master Medical Biology: Medical Epigenomics | Biology | Pre-Master's Medical Biology: Medical Epigenomics,1
Pre-master Medical Biology: Neurobiology,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,def8c407-c1ae-463e-9206-c8c075588dc0,VOLTIJD,ENG,Nijmegen,,Pre-master Medical Biology: Neurobiology | Biology | Pre-Master's Medical Biology: Neurobiology,1
Pre-master Molecular Sciences: Chemistry of Life,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56944,1001O6127,323e15d6-f821-4ab4-a901-1b5600b7b980,VOLTIJD,ENG,Nijmegen,,Pre-master Molecular Sciences: Chemistry of Life | Molecular Life Sciences | Pre-Master's Molecular Sciences: Chemistry of Life,1
Pre-master Molecular Sciences: Medicinal Chemistry,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56944,1001O6127,074acd72-1825-41cc-81a8-7c0b9808a22b,VOLTIJD,ENG,Nijmegen,,Pre-master Molecular Sciences: Medicinal Chemistry | Molecular Life Sciences | Pre-Master's Molecular Sciences: Medicinal Chemistry,1
Pre-master Molecular Sciences: Molecular Chemistry,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56944,1001O6127,8df1135d-f9e3-467c-8f10-48382f4378b7,VOLTIJD,ENG,Nijmegen,,Pre-master Molecular Sciences: Molecular Chemistry | Molecular Life Sciences | Pre-Master's Molecular Sciences: Molecular Chemistry,1
Pre-master Molecular Sciences: Physical Chemistry,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56944,1001O6127,af185022-c1a9-48ec-9878-323ca23aba25,VOLTIJD,ENG,Nijmegen,,Pre-master Molecular Sciences: Physical Chemistry | Molecular Life Sciences | Pre-Master's Molecular Sciences: Physical Chemistry,1
Pre-master Physics and Astronomy: Neurophysics,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56984,1001O6193,6a117ba5-d53d-4b43-a0b3-dc692310be7e,VOLTIJD,NLD,Nijmegen,,Pre-master Physics and Astronomy: Neurophysics | Natuur- en Sterrenkunde | Physics and Astronomy | Pre-Master's Physics and Astronomy: Neurophysics,1
Pre-master Physics and Astronomy: Particle and Astrophysics,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56984,1001O6193,5a8fa6e4-9f46-45ad-88a2-d2d7fdd1c17f,VOLTIJD,NLD,Nijmegen,,Pre-master Physics and Astronomy: Particle and Astrophysics | Natuur- en Sterrenkunde | Physics and Astronomy | Pre-Master's Physics and Astronomy: Particle and Astrophysics,1
Pre-master Physics and Astronomy: Physics of Molecules and Materials,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56984,1001O6193,9cc09108-2bcc-44af-8575-8d69fb520380,VOLTIJD,NLD,Nijmegen,,Pre-master Physics and Astronomy: Physics of Molecules and Materials | Natuur- en Sterrenkunde | Physics and Astronomy | Pre-Master's Physics and Astronomy: Physics of Molecules and Materials,1
Pre-master Science for Sustainability,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,af04d25a-53fc-4569-be12-1896e7d7f7b3,VOLTIJD,ENG,Nijmegen,,Pre-master Science for Sustainability | Biology | Pre-Master's Science for Sustainability,1
Pre-master Tweejarige Educatieve Master Biologie,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,e313673f-b99b-41fd-a1cd-0accb287c37f,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Biologie | Biology | Pre-Master's Two-year Educational Master's Biology,1
Pre-master Tweejarige Educatieve Master Informatica,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,5041ae07-2e6a-47a6-8318-00310abd8a1c,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Informatica | Computing Science | Pre-Master's Two-year Educational Master's Computing Science,1
Pre-master Tweejarige Educatieve Master Natuurkunde,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56984,1001O6193,df31d714-711b-4170-8e93-d32d908168cf,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Natuurkunde | Natuur- en Sterrenkunde | Physics and Astronomy | Pre-Master's Two-year Educational Master's Physics,1
Pre-master Tweejarige Educatieve Master Scheikunde,Chemistry,Chemistry,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56943,1001O6126,65f1617e-075f-4f14-bb4a-47733a0b2c3f,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Scheikunde | Chemistry | Pre-Master's Two-year Educational Master's Chemistry,1
Pre-master Tweejarige Educatieve Master Wiskunde,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56980,1001O6181,1dba25a6-288e-46fa-8972-82440e76f224,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Wiskunde | Wiskunde | Mathematics | Pre-Master's Two-year Educational Master's Mathematics,1
Scheikunde,Chemistry,Chemistry,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56943,1001O6126,d3fbb1a0-6025-4246-9238-a651f8b31c86,VOLTIJD,ENG,Nijmegen,,Scheikunde | Chemistry,1
Wiskunde,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56980,1001O6181,b444f4a9-c747-48ae-b222-5793e7f31fd3,VOLTIJD,NLD,Nijmegen,,Wiskunde | Mathematics,1
European Law School,European Law School,European Law School,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,50017,1001O5640,ff66a977-b280-4159-b41b-ea3222e2aee1,VOLTIJD,NLD,Nijmegen,,European Law School,1
Pre-master Fiscaal Recht,Rechtsgeleerdheid,Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,50700,1001O5731,e1a4e2df-9394-4959-af80-d8f7d6abf19d,VOLTIJD,NLD,Nijmegen,,Pre-master Fiscaal Recht | Rechtsgeleerdheid | Law | Pre-Master's Tax Law,1
Pre-master Notarieel Recht,Notarieel Recht,Notarial Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,56828,1001O6071,3a0226de-1bb3-423c-84ae-eeff9a1e764f,VOLTIJD,NLD,Nijmegen,,Pre-master Notarieel Recht | Notarieel Recht | Notarial Law | Pre-Master's Notarial Law,1
Pre-master Privaatrecht,Rechtsgeleerdheid,Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,50700,1001O5731,d3937af7-aca0-42a7-8a87-b7313b808e8e,VOLTIJD,NLD,Nijmegen,,Pre-master Privaatrecht | Rechtsgeleerdheid | Law | Pre-Master's Private Law,1
Pre-master Publiekrecht,Rechtsgeleerdheid,Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,50700,1001O5731,205b7429-5d17-4e14-8d50-1710606e64ab,VOLTIJD,NLD,Nijmegen,,Pre-master Publiekrecht | Rechtsgeleerdheid | Law | Pre-Master's Public Law,1
Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,1001O6129,70132c6d-8164-4ebf-8988-776eb1f3e9ec,VOLTIJD,ENG,Nijmegen,,Artificial Intelligence,1
Communicatiewetenschap,Communicatiewetenschap,Communication Science,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56615,1001O5961,1c8b8b4c-cf63-4407-ae06-831a72b033fa,VOLTIJD,NLD,Nijmegen,,Communicatiewetenschap | Communication Science,1
Culturele Antropologie en Ontwikkelingssociologie,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,50035,1001O5655,6d3cbfeb-8779-4bc5-b479-e36783d2fca8,VOLTIJD,NLD,Nijmegen,,Culturele Antropologie en Ontwikkelingssociologie | Cultural Anthropology and Development Sociology,1
Humane Neurowetenschappen,Humane Neurowetenschappen,Human Neuroscience,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,59349,1001O8935,05ad0343-1cdb-4cfc-a11f-336f8c969fc3,VOLTIJD,NLD,Nijmegen,,Humane Neurowetenschappen | Human Neuroscience,1
Pedagogische Wetenschappen van Primair Onderwijs,Pedagogische Wetenschappen van Primair Onderwijs,Pedagogical Sciences of Primary Education,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,59329,1001O6238,cd7688bc-b4e0-4843-8cef-8c680ff4135b,VOLTIJD,NLD,Nijmegen,,Pedagogische Wetenschappen van Primair Onderwijs | Pedagogical Sciences of Primary Education,1
Pre-master 1 jarige lerarenopleiding RDA-FSW,Sociologie,Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56601,1001O5926,dea425b3-225c-4c6b-8ff4-b250b069f46e,VOLTIJD,NLD,Nijmegen,,Pre-master 1 jarige lerarenopleiding RDA-FSW | Sociologie | Sociology | Pre-Master's 1 year Teaching RDA-FSW,1
Pre-master Anthropology and Development Studies,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,50035,1001O5655,3449ed9a-2652-487e-9879-0d4aca606bfa,VOLTIJD,NLD,Nijmegen,,Pre-master Anthropology and Development Studies | Culturele Antropologie en Ontwikkelingssociologie | Cultural Anthropology and Development Sociology | Pre-Master's Anthropology and Development Studies,1
Pre-master Artificial Intelligence: Cognitive Computing,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,1001O6129,e27c4830-f63c-4960-b1db-dd3bbc0890b3,VOLTIJD,ENG,Nijmegen,,Pre-master Artificial Intelligence: Cognitive Computing | Artificial Intelligence | Pre-Master's Artificial Intelligence: Cognitive Computing,1
Pre-master Artificial Intelligence: Human Centered Intelligent Systems,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,1001O6129,f9435872-b8af-42ca-88e9-f0483f8c1e46,VOLTIJD,ENG,Nijmegen,,Pre-master Artificial Intelligence: Human Centered Intelligent Systems | Artificial Intelligence | Pre-Master's Artificial Intelligence: Human Centered Intelligent Systems,1
Pre-master Artificial Intelligence: Intelligent Technology,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,1001O6129,4a131366-0334-4c88-a548-ac40e9a62efd,VOLTIJD,ENG,Nijmegen,,Pre-master Artificial Intelligence: Intelligent Technology | Artificial Intelligence | Pre-Master's Artificial Intelligence: Intelligent Technology,1
Pre-master Artificial Intelligence: Machine Learning and Neural Computing,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,1001O6129,e124f577-9d8e-439d-9b14-4cbf66e63a58,VOLTIJD,ENG,Nijmegen,,Pre-master Artificial Intelligence: Machine Learning and Neural Computing | Artificial Intelligence | Pre-Master's Artificial Intelligence: Machine Learning and Neural Computing,1
Pre-master Communicatiewetenschap,Communicatiewetenschap,Communication Science,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56615,1001O5961,ead3c1b7-527e-4133-b3e5-736279aa9c1e,VOLTIJD,NLD,Nijmegen,,Pre-master Communicatiewetenschap | Communicatiewetenschap | Communication Science | Pre-Master's Communication Science,1
Pre-master Curriculumontwikkeling voor Primair Onderwijs,Pedagogische Wetenschappen van Primair Onderwijs,Pedagogical Sciences of Primary Education,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,59329,1001O6238,9b3a1823-0a83-4256-a13e-b1a600ab6e6d,VOLTIJD,NLD,Nijmegen,,Pre-master Curriculumontwikkeling voor Primair Onderwijs | Pedagogische Wetenschappen van Primair Onderwijs | Pedagogical Sciences of Primary Education | Pre-Master's Pedagogical Sciences of Primary Education,1
Pre-master Intersectional Gender Studies,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,50035,1001O5655,3f428c6e-0e39-4dce-8294-9d685f9be243,VOLTIJD,ENG,Nijmegen,,Pre-master Intersectional Gender Studies | Culturele Antropologie en Ontwikkelingssociologie | Cultural Anthropology and Development Sociology | Pre-Master's Intersectional Gender Studies,1
Pre-master Onderwijswetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56607,1001O5949,37a8e620-9131-46f4-bcb7-1b2ce5e33c3f,VOLTIJD,NLD,Nijmegen,,Pre-master Onderwijswetenschappen | Pedagogische Wetenschappen | Pedagogical Sciences | Pre-Master's Educational Sciences,1
Pre-master Pedagogische Wetenschappen: Orthopedagogiek,Pedagogische Wetenschappen,Pedagogical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56607,1001O5949,69c0783d-3b9b-4458-8607-e10112f68461,VOLTIJD,NLD,Nijmegen,,Pre-master Pedagogische Wetenschappen: Orthopedagogiek | Pedagogische Wetenschappen | Pedagogical Sciences | Pre-Master's Pedagogical Sciences: Remedial Educationalist,1
Pre-master Pedagogische Wetenschappen: Pedagogiek,Pedagogische Wetenschappen,Pedagogical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56607,1001O5949,541e84f6-c6e9-49fe-b7ad-b98bfcfeab1c,VOLTIJD,NLD,Nijmegen,,Pre-master Pedagogische Wetenschappen: Pedagogiek | Pedagogische Wetenschappen | Pedagogical Sciences | Pre-Master's Pedagogical Sciences: Pedagogy,1
Pre-master Sociologie,Sociologie,Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56601,1001O5926,1964c972-9504-4b86-ba5f-637b516c330a,VOLTIJD,NLD,Nijmegen,,Pre-master Sociologie | Sociologie | Sociology | Pre-Master's Sociology,1
Psychologie,Psychologie,Psychology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56604,1001O5936,d951cde7-5665-4448-9d01-36f543fc1a4d,VOLTIJD,"ENG,NLD",Nijmegen,,Psychologie | Psychology,1
Sociologie,Sociologie,Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56601,1001O5926,a47a4d00-7fcf-4092-acac-656f1a48813f,VOLTIJD,NLD,Nijmegen,,Sociologie | Sociology,1
Educatieve Minor of Module Aardrijkskunde,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56947,1001O6131,78c0c01b-d3b5-4192-b453-480d94d247ab,VOLTIJD,NLD,Nijmegen,,"Educatieve Minor of Module Aardrijkskunde | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Education Module Geography",1
Educatieve Minor of Module Biologie,Biology,Biology,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,59325,1001O6234,33280ca2-f297-463f-b135-8c20efa81147,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Biologie | Biology | Education Module Biology,1
Educatieve Minor of Module Duits,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56805,1001O6009,acf2d7a2-1384-4b5e-8d3d-17289bd36035,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Duits | Duitse Taal en Cultuur | German Language and Culture | Education Module German,1
Educatieve Minor of Module Engels,English Language and Culture,English Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,50290,1001O5672,6be62f7e-bfa4-4c1e-a08f-8490fac54031,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Engels | English Language and Culture | Education Module English,1
Educatieve Minor of Module Frans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56074,1001O5835,7dcc9328-d9ea-47e7-a2bb-d839237a5b16,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Frans | Romaanse Talen en Culturen | Romance Languages and Cultures | Education Module French,1
Educatieve Minor of Module Geschiedenis,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56034,1001O5822,276069dc-8856-438a-8541-0bd98204a01b,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Geschiedenis | Geschiedenis | History | Education Module History,1
Educatieve Minor of Module Godsdienst & levensbeschouwing,Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,50902,1001O5755,5e20bf73-7d48-4043-b697-e3b5b8c90ae6,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Godsdienst & levensbeschouwing | Religiewetenschappen | Religious Studies | Education Module Religious Studies,1
Educatieve Minor of Module Godsdienst & levensbeschouwing,Theologie,Theology,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56109,1001O5857,938916a7-f351-42c9-b9df-c9e9363cbe35,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Godsdienst & levensbeschouwing | Theologie | Theology | Education Module Religious Studies,1
Educatieve Minor of Module Grieks en Latijn,Griekse en Latijnse Taal en Cultuur,Classics,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56003,1001O5809,3a1f320b-c91b-4986-95c0-16fdfb034f5c,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Grieks en Latijn | Griekse en Latijnse Taal en Cultuur | Classics | Education Module Greek and Latin,1
Educatieve Minor of Module Informatica,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,59326,1001O6235,a891f9ae-e1de-4a9a-a0d3-1ad907b80287,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Informatica | Computing Science | Educatieve Module Computing Science,1
Educatieve Minor of Module Natuurkunde,Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56948,1001O6132,077d7011-5da8-4ae4-ae5a-509b262d901e,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Natuurkunde | Natural Sciences | Education Module Physics,1
Educatieve Minor of Module Natuurkunde,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56984,1001O6193,b0832a3c-1aa7-4afc-8abd-d15dc37a90a4,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Natuurkunde | Natuur- en Sterrenkunde | Physics and Astronomy | Education Module Physics,1
Educatieve Minor of Module Nederlands,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56804,1001O6003,ca36259f-5163-4d00-8ba6-585408fc522d,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Nederlands | Nederlandse Taal en Cultuur | Dutch Language and Culture | Education Module Dutch,1
Educatieve Minor of Module Scheikunde,Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56948,1001O6132,a5b93c5c-d06e-4147-90c5-e89ce6f093e0,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Scheikunde | Natural Sciences | Education Module Chemistry,1
Educatieve Minor of Module Scheikunde,Chemistry,Chemistry,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56943,1001O6126,a6c7a6c8-c314-4c8a-badc-29090e946534,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Scheikunde | Chemistry | Education Module Chemistry,1
Educatieve Minor of Module Scheikunde,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56944,1001O6127,b77d1c3b-b48f-450c-9b19-05d2979dd873,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Scheikunde | Molecular Life Sciences | Education Module Chemistry,1
Educatieve Minor of Module Spaans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56074,1001O5835,d48e1edc-e906-4db9-bcd4-f7a23f10dde7,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Spaans | Romaanse Talen en Culturen | Romance Languages and Cultures | Education Module Spanish,1
Educatieve Minor of Module Wiskunde,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,56980,1001O6181,e410b5e5-594b-434e-865a-b436c6b4c228,VOLTIJD,NLD,Nijmegen,,Educatieve Minor of Module Wiskunde | Wiskunde | Mathematics | Education Module Mathematics,1
American Studies,American Studies,American Studies,Rijksuniversiteit Groningen,50623,1001O5705,be251e98-fb14-450f-ab0a-e6c36074c106,VOLTIJD,ENG,Groningen,,American Studies,1
Archeologie,Archeologie,Archaeology,Rijksuniversiteit Groningen,56703,1001O5979,1b7b9120-8520-4517-aa6a-0fa9cfa88a93,VOLTIJD,NLD,Groningen,,Archeologie | Archaeology,1
Bedrijfskunde,Bedrijfskunde,Business Administration,Rijksuniversiteit Groningen,50645,1001O5711,f25f1b86-400e-4a61-aa61-016f79febb1d,VOLTIJD,NLD,Groningen,,Bedrijfskunde | Business Administration,1
Bewegingswetenschappen,Bewegingswetenschappen,Human Movement Sciences,Rijksuniversiteit Groningen,56950,1001O6134,e2f255c1-67be-4d9e-a23a-519afc6c6258,VOLTIJD,NLD,Groningen,,Bewegingswetenschappen | Human Movement Sciences,1
Biologie,Biologie,Biology,Rijksuniversiteit Groningen,56860,1001O6118,260beda1-04c1-467a-abb5-477579bd5850,VOLTIJD,ENG,Groningen,,Biologie | Biology,1
Biomedische Technologie,Biomedische Technologie,Biomedical Engineering,Rijksuniversiteit Groningen,56226,1001O5871,d9269d1a-3824-4c3e-995b-4cccca0e0d5f,VOLTIJD,ENG,Groningen,,Biomedische Technologie | Biomedical Engineering,2
Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Rijksuniversiteit Groningen,56826,1001O6056,9a7d3271-edc5-4cb6-b9d6-c0961afb1eb7,VOLTIJD,ENG,Groningen,,Communicatie- en Informatiewetenschappen | Communication and Information Studies,1
Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Rijksuniversiteit Groningen,56826,1001O6056,d5f3bff1-0da9-493b-8fdb-de0f2e57ce8a,VOLTIJD,NLD,Groningen,,Communicatie- en Informatiewetenschappen | Communication and Information Studies,1
