programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Educatieve Minor of Module Informatica,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,59326,1001O6235,114A128,BACHELOR,180,Nijmegen,NLD,,1,Computing Science | Educatieve Minor of Module Informatica | Educatieve Module Computing Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Natuurkunde,Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56948,1001O6132,114A128,BACHELOR,180,Nijmegen,NLD,,2,Educatieve Minor of Module Natuurkunde | Educatieve Minor of Module Scheikunde | Education Module Chemistry | Education Module Physics | Natural Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Natuurkunde,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56984,1001O6193,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Natuurkunde | Education Module Physics | Natuur- en Sterrenkunde | Physics and Astronomy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Nederlands,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56804,1001O6003,114A128,BACHELOR,180,Nijmegen,NLD,,1,Dutch Language and Culture | Educatieve Minor of Module Nederlands | Education Module Dutch | Nederlandse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Scheikunde,Chemistry,Chemistry,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56943,1001O6126,114A128,BACHELOR,180,Nijmegen,NLD,,1,Chemistry | Educatieve Minor of Module Scheikunde | Education Module Chemistry,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Scheikunde,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56944,1001O6127,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Scheikunde | Education Module Chemistry | Molecular Life Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Wiskunde,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56980,1001O6181,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Wiskunde | Education Module Mathematics | Mathematics | Wiskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
American Studies,American Studies,American Studies,Rijksuniversiteit Groningen,OPLEIDING,50623,1001O5705,113A748,BACHELOR,180,Groningen,ENG,,1,American Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Archeologie,Archeologie,Archaeology,Rijksuniversiteit Groningen,OPLEIDING,56703,1001O5979,113A748,BACHELOR,180,Groningen,NLD,,1,Archaeology | Archeologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bedrijfskunde,Bedrijfskunde,Business Administration,Rijksuniversiteit Groningen,OPLEIDING,50645,1001O5711,113A748,BACHELOR,180,Groningen,NLD,,1,Bedrijfskunde | Business Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bewegingswetenschappen,Bewegingswetenschappen,Human Movement Sciences,Rijksuniversiteit Groningen,OPLEIDING,56950,1001O6134,113A748,BACHELOR,180,Groningen,NLD,,1,Bewegingswetenschappen | Human Movement Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biologie,Biologie,Biology,Rijksuniversiteit Groningen,OPLEIDING,56860,1001O6118,113A748,BACHELOR,180,Groningen,ENG,,1,Biologie | Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biomedische Technologie,Biomedische Technologie,Biomedical Engineering,Rijksuniversiteit Groningen,OPLEIDING,56226,1001O5871,113A748,BACHELOR,180,Groningen,ENG,,2,Biomedical Engineering | Biomedische Technologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Rijksuniversiteit Groningen,OPLEIDING,56826,1001O6056,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Communicatie- en Informatiewetenschappen | Communication and Information Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Data Science and Society,Data Science and Society,Data Science and Society,Rijksuniversiteit Groningen,OPLEIDING,50982,1001O8744,113A748,BACHELOR,180,Leeuwarden,ENG,,1,Data Science and Society,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Econometrie en Operationele Research,Econometrie en Operationele Research,Econometrics and Operations Research,Rijksuniversiteit Groningen,OPLEIDING,56833,1001O6076,113A748,BACHELOR,180,Groningen,ENG,,1,Econometrics and Operations Research | Econometrie en Operationele Research,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Economie en Bedrijfseconomie,Economie en Bedrijfseconomie,Economics and Business Economics,Rijksuniversiteit Groningen,OPLEIDING,50950,1001O5761,113A748,BACHELOR,180,Groningen,ENG,,1,Economics and Business Economics | Economie en Bedrijfseconomie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
English Language and Culture,English Language and Culture,English Language and Culture,Rijksuniversiteit Groningen,OPLEIDING,50290,1001O5670,113A748,BACHELOR,180,Groningen,ENG,,1,English Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Europese Talen en Culturen,Europese Talen en Culturen,European Languages and Cultures,Rijksuniversiteit Groningen,OPLEIDING,56124,1001O5866,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,European Languages and Cultures | Europese Talen en Culturen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Farmacie,Farmacie,Pharmacy,Rijksuniversiteit Groningen,OPLEIDING,56157,1001O5867,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Farmacie | Pharmacy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Filosofie,Filosofie,Philosophy,Rijksuniversiteit Groningen,OPLEIDING,56081,1001O5838,113A748,BACHELOR,180,Groningen,NLD,,1,Filosofie | Philosophy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geneeskunde,Geneeskunde,Medicine,Rijksuniversiteit Groningen,OPLEIDING,56551,1001O5904,113A748,BACHELOR,180,Groningen,NLD,,1,Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geschiedenis,Geschiedenis,History,Rijksuniversiteit Groningen,OPLEIDING,56034,1001O5817,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Geschiedenis | History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Global Responsibility and Leadership,Global Responsibility and Leadership,Global Responsibility and Leadership,Rijksuniversiteit Groningen,OPLEIDING,59327,1001O6236,113A748,BACHELOR,180,Leeuwarden,ENG,,1,Global Responsibility and Leadership,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Rijksuniversiteit Groningen,OPLEIDING,56003,1001O5806,113A748,BACHELOR,180,Groningen,NLD,,1,Classics | Griekse en Latijnse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Human Geography and Planning,Human Geography and Planning,Human Geography and Planning,Rijksuniversiteit Groningen,OPLEIDING,50974,1001O5774,113A748,BACHELOR,180,Groningen,ENG,,1,Human Geography and Planning,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Informatica,Informatica,Computing Science,Rijksuniversiteit Groningen,OPLEIDING,56978,1001O6170,113A748,BACHELOR,180,Groningen,ENG,,2,Computing Science | Informatica,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Informatiekunde,Informatiekunde,Information Science,Rijksuniversiteit Groningen,OPLEIDING,56842,1001O6095,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Informatiekunde | Information Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
International and European Law,International and European Law,International and European Law,Rijksuniversiteit Groningen,OPLEIDING,56829,1001O6072,113A748,BACHELOR,180,Groningen,ENG,,1,International and European Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
International Business,International Business,International Business,Rijksuniversiteit Groningen,OPLEIDING,50019,1001O5642,113A748,BACHELOR,180,Groningen,ENG,,1,International Business,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Internationale Betrekkingen en Internationale Organisatie,Internationale Betrekkingen en Internationale Organisatie,International Relations and International Organization,Rijksuniversiteit Groningen,OPLEIDING,50627,1001O5706,113A748,BACHELOR,180,Groningen,ENG,,1,International Relations and International Organization | Internationale Betrekkingen en Internationale Organisatie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Kunsten, Cultuur en Media","Kunsten, Cultuur en Media","Arts, Culture and Media",Rijksuniversiteit Groningen,OPLEIDING,50629,1001O5707,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,"Arts, Culture and Media | Kunsten, Cultuur en Media",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstgeschiedenis,Kunstgeschiedenis,Art History,Rijksuniversiteit Groningen,OPLEIDING,56824,1001O6049,113A748,BACHELOR,180,Groningen,ENG,,1,Art History | Kunstgeschiedenis,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstmatige Intelligentie,Kunstmatige Intelligentie,Artificial Intelligence,Rijksuniversiteit Groningen,OPLEIDING,56981,1001O6182,113A748,BACHELOR,180,Groningen,ENG,,2,Artificial Intelligence | Kunstmatige Intelligentie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Rijksuniversiteit Groningen,OPLEIDING,50393,1001O5680,113A748,BACHELOR,180,Groningen,ENG,,1,Liberal Arts and Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Life Science and Technology,Life Science and Technology,Life Science and Technology,Rijksuniversiteit Groningen,OPLEIDING,56286,1001O5878,113A748,BACHELOR,180,Groningen,ENG,,2,Life Science and Technology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Media en Cultuur,Media en Cultuur,Media Studies,Rijksuniversiteit Groningen,OPLEIDING,50906,1001O5757,113A748,BACHELOR,180,Groningen,ENG,,1,Media Studies | Media en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Midden-Oostenstudies,Midden-Oostenstudies,Middle Eastern Studies,Rijksuniversiteit Groningen,OPLEIDING,56098,1001O5847,113A748,BACHELOR,180,Groningen,NLD,,1,Midden-Oostenstudies | Middle Eastern Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Minorities & Multilingualism,Minorities & Multilingualism,Minorities & Multilingualism,Rijksuniversiteit Groningen,OPLEIDING,56012,1001O5810,113A748,BACHELOR,180,Groningen,ENG,,1,Minorities & Multilingualism,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Natuurkunde,Natuurkunde,Physics,Rijksuniversiteit Groningen,OPLEIDING,50206,1001O5666,113A748,BACHELOR,180,Groningen,ENG,,1,Natuurkunde | Physics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Rijksuniversiteit Groningen,OPLEIDING,56804,1001O5999,113A748,BACHELOR,180,Groningen,NLD,,1,Dutch Language and Culture | Nederlandse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandse Talen en Culturen,Nederlandse Talen en Culturen,Dutch Languages and Cultures,Rijksuniversiteit Groningen,OPLEIDING,50479,1016O2817,113A748,BACHELOR,180,Groningen,NLD,,1,Dutch Languages and Cultures | Nederlandse Talen en Culturen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pedagogische Wetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Rijksuniversiteit Groningen,OPLEIDING,56607,1001O5944,113A748,BACHELOR,180,Groningen,NLD,,1,Pedagogical Sciences | Pedagogische Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Psychologie,Psychologie,Psychology,Rijksuniversiteit Groningen,OPLEIDING,56604,1001O5929,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Rechtsgeleerdheid,Rechtsgeleerdheid,Dutch Law,Rijksuniversiteit Groningen,OPLEIDING,50700,1001O5725,113A748,BACHELOR,180,Groningen | Leeuwarden,NLD,,2,Dutch Law | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Religiewetenschappen,Religiewetenschappen,Religious Studies,Rijksuniversiteit Groningen,OPLEIDING,50902,1001O5751,113A748,BACHELOR,180,Groningen,ENG | NLD,,2,Religiewetenschappen | Religious Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Scheikunde,Scheikunde,Chemistry,Rijksuniversiteit Groningen,OPLEIDING,56857,1001O6112,113A748,BACHELOR,180,Groningen,ENG,,1,Chemistry | Scheikunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Scheikundige Technologie,Scheikundige Technologie,Chemical Engineering,Rijksuniversiteit Groningen,OPLEIDING,56960,1001O6149,113A748,BACHELOR,180,Groningen,ENG,,1,Chemical Engineering | Scheikundige Technologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Sociologie,Sociologie,Sociology,Rijksuniversiteit Groningen,OPLEIDING,56601,1001O5921,113A748,BACHELOR,180,Groningen,NLD,,1,Sociologie | Sociology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Spatial Planning and Design,Spatial Planning and Design,Spatial Planning and Design,Rijksuniversiteit Groningen,OPLEIDING,56194,1001O5869,113A748,BACHELOR,180,Groningen,ENG,,2,Spatial Planning and Design,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Sterrenkunde,Sterrenkunde,Astronomy,Rijksuniversiteit Groningen,OPLEIDING,50205,1001O5664,113A748,BACHELOR,180,Groningen,ENG,,2,Astronomy | Sterrenkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Taalwetenschap,Taalwetenschap,Linguistics,Rijksuniversiteit Groningen,OPLEIDING,56803,1001O5993,113A748,BACHELOR,180,Groningen,NLD,,1,Linguistics | Taalwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Tandheelkunde,Tandheelkunde,Dentistry,Rijksuniversiteit Groningen,OPLEIDING,56560,1001O5915,113A748,BACHELOR,180,Groningen,NLD,,1,Dentistry | Tandheelkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Technische Bedrijfskunde,Technische Bedrijfskunde,Industrial Engineering & Management,Rijksuniversiteit Groningen,OPLEIDING,56994,1001O6210,113A748,BACHELOR,180,Groningen,ENG,,2,Industrial Engineering & Management | Technische Bedrijfskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Technische Natuurkunde,Technische Natuurkunde,Applied Physics,Rijksuniversiteit Groningen,OPLEIDING,56962,1001O6152,113A748,BACHELOR,180,Groningen,ENG,,1,Applied Physics | Technische Natuurkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Technische Wiskunde,Technische Wiskunde,Applied Mathematics,Rijksuniversiteit Groningen,OPLEIDING,56965,1001O6160,113A748,BACHELOR,180,Groningen,ENG,,1,Applied Mathematics | Technische Wiskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theologie,Theologie,Theology,Rijksuniversiteit Groningen,OPLEIDING,56109,1001O5855,113A748,BACHELOR,180,Groningen,NLD,,1,Theologie | Theology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Wiskunde,Wiskunde,Mathematics,Rijksuniversiteit Groningen,OPLEIDING,56980,1001O6177,113A748,BACHELOR,180,Groningen,ENG,,1,Mathematics | Wiskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Werktuigbouwkunde,Werktuigbouwkunde,Mechanical Engineering,Technische Universiteit Eindhoven,OPLEIDING,56966,1001O6165,114A734,BACHELOR,180,Eindhoven,ENG,,1,Mechanical Engineering | Werktuigbouwkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Theologie,Theologie,,Theologische Universiteit Apeldoorn,OPLEIDING,56109,1001O5859,113A677,BACHELOR,180,Apeldoorn,NLD,https://www.tua.nl/nl/onderwijs/o/bachelor-theologie,1,Bachelor Theologie | Theologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theologie,Theologie,,Theologische Universiteit Utrecht,OPLEIDING,56109,1001O5860,114A554,BACHELOR,180,Utrecht,NLD,,1,Theologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Algemene Cultuurwetenschappen,Algemene Cultuurwetenschappen,Culture Studies,Tilburg University,OPLEIDING,56823,1001O6046,112A446,BACHELOR,180,Tilburg,NLD,,1,Algemene Cultuurwetenschappen | Culture Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Cognitive Science and Artificial Intelligence,Cognitive Science and Artificial Intelligence,Cognitive Science and Artificial Intelligence,Tilburg University,OPLEIDING,59338,1001O6245,112A446,BACHELOR,180,Tilburg,ENG,,1,Cognitive Science and Artificial Intelligence,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Sciences,Tilburg University,OPLEIDING,56826,1001O6060,112A446,BACHELOR,180,Tilburg,NLD,,1,Communicatie- en Informatiewetenschappen | Communication and Information Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Econometrie en Operationele Research,Econometrie en Operationele Research,Econometrics and Operations Research,Tilburg University,OPLEIDING,56833,1001O6081,112A446,BACHELOR,180,Tilburg,ENG,,1,Econometrics and Operations Research | Econometrie en Operationele Research,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Economics,Economie,Economics,Tilburg University,OPLEIDING,56401,1001O5883,112A446,BACHELOR,180,Tilburg,ENG,,1,Economics | Economie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Economie en Bedrijfseconomie,Economie en Bedrijfseconomie,Economics and Business Economics,Tilburg University,OPLEIDING,50950,1001O5767,112A446,BACHELOR,180,Tilburg,NLD,,1,Economics and Business Economics | Economie en Bedrijfseconomie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Entrepreneurship and Business Innovation,Entrepreneurship and Business Innovation,Entrepreneurship and Business Innovation,Tilburg University,OPLEIDING,59340,1001O6247,112A446,BACHELOR,180,Tilburg,ENG,,1,Entrepreneurship and Business Innovation,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Filosofie,Filosofie,Philosophy,Tilburg University,OPLEIDING,56081,1001O5844,112A446,BACHELOR,180,Tilburg,NLD,,1,Filosofie | Philosophy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Global Law,Global Law,Global Law,Tilburg University,OPLEIDING,56475,1001O5902,112A446,BACHELOR,180,Tilburg,ENG,,1,Global Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
International Business Administration,International Business Administration,International Business Administration,Tilburg University,OPLEIDING,50952,1001O5773,112A446,BACHELOR,180,Tilburg,ENG,,1,International Business Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Tilburg University,OPLEIDING,50393,1001O5686,112A446,BACHELOR,180,Tilburg,ENG,,1,Liberal Arts and Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theologie,Theologie,Theology,Tilburg University,OPLEIDING,56109,1001O5858,112A446,BACHELOR,180,Tilburg | Utrecht,ENG,,2,Theologie | Theology,pilot-09,0.667,2026-08-21,DUO RIO HO Opleidingsoverzicht
African Studies,African Studies,African Studies,Universiteit Leiden,OPLEIDING,56821,1001O6041,114A561,BACHELOR,180,Leiden,ENG,,1,African Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Archeologie,Archeologie,Archaeology,Universiteit Leiden,OPLEIDING,56703,1001O5978,114A561,BACHELOR,180,Leiden,NLD,,1,Archaeology | Archeologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bestuurskunde,Bestuurskunde,Public Administration,Universiteit Leiden,OPLEIDING,56627,1001O5965,114A561,BACHELOR,180,'s-Gravenhage,NLD,,1,Bestuurskunde | Public Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bio-Farmaceutische Wetenschappen,Bio-Farmaceutische Wetenschappen,,Universiteit Leiden,OPLEIDING,50207,1001O5667,114A561,BACHELOR,180,Leiden,NLD,,1,Bio-Farmaceutische Wetenschappen | Bio-Pharmaceutical Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biologie,Biologie,Biology,Universiteit Leiden,OPLEIDING,56860,1001O6117,114A561,BACHELOR,180,Leiden,NLD,,1,Biologie | Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biomedische Wetenschappen,Biomedische Wetenschappen,,Universiteit Leiden,OPLEIDING,56990,1001O6203,114A561,BACHELOR,180,Leiden,NLD,,1,Biomedical Science | Biomedische Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Chinastudies,Chinastudies,Chinese Studies,Universiteit Leiden,OPLEIDING,56818,1001O6038,114A561,BACHELOR,180,Leiden,NLD,,1,Chinastudies | Chinese Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Criminologie,Criminologie,,Universiteit Leiden,OPLEIDING,56469,1001O5899,114A561,BACHELOR,180,Leiden,NLD,,1,Criminologie | Criminology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Cultural Anthropology and Development Sociology,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Universiteit Leiden,OPLEIDING,50035,1001O5651,114A561,BACHELOR,180,Leiden,NLD,,1,Cultural Anthropology and Development Sociology | Culturele Antropologie en Ontwikkelingssociologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Cybersecurity & Cybercrime,Cybersecurity & Cybercrime,Cybersecurity & Cybercrime,Universiteit Leiden,OPLEIDING,59348,1001O8924,114A561,BACHELOR,180,'s-Gravenhage,NLD,,1,Cybersecurity & Cybercrime,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Universiteit Leiden,OPLEIDING,50300,1001O5674,114A561,BACHELOR,180,Leiden,ENG,,1,Data Science and Artificial Intelligence,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Duitse Taal en Cultuur,Duitse Taal en Cultuur,,Universiteit Leiden,OPLEIDING,56805,1001O6004,114A561,BACHELOR,180,Leiden,NLD,,1,Duitse Taal en Cultuur | German Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Economie en Samenleving,Economie & Samenleving,Economics & Society,Universiteit Leiden,OPLEIDING,50996,1001O8921,114A561,BACHELOR,180,'s-Gravenhage,NLD,,1,Economics & Society | Economics and Society | Economie & Samenleving | Economie en Samenleving,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
English Language and Culture,Engelse Taal en Cultuur,,Universiteit Leiden,OPLEIDING,56806,1001O6010,114A561,BACHELOR,180,Leiden,ENG,,1,Engelse Taal en Cultuur | English Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Film- en Literatuurwetenschap,Film- en Literatuurwetenschap,Film and Literary Studies,Universiteit Leiden,OPLEIDING,50414,1001O5689,114A561,BACHELOR,180,Leiden,NLD,,1,Film and Literary Studies | Film- en Literatuurwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Filosofie,Filosofie,,Universiteit Leiden,OPLEIDING,56081,1001O5837,114A561,BACHELOR,180,Leiden,NLD,,1,Filosofie | Philosophy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Fiscaal Recht,Fiscaal Recht,Tax Law,Universiteit Leiden,OPLEIDING,56827,1001O6061,114A561,BACHELOR,180,Leiden,NLD,,1,Fiscaal Recht | Tax Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Franse Taal en Cultuur,Franse Taal en Cultuur,,Universiteit Leiden,OPLEIDING,56808,1001O6018,114A561,BACHELOR,180,Leiden,NLD,,1,Franse Taal en Cultuur | French Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geneeskunde,Geneeskunde,Medicine,Universiteit Leiden,OPLEIDING,56551,1001O5903,114A561,BACHELOR,180,Leiden,NLD,,1,Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geschiedenis,Geschiedenis,History,Universiteit Leiden,OPLEIDING,56034,1001O5816,114A561,BACHELOR,180,Leiden,NLD,,1,Geschiedenis | History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Universiteit Leiden,OPLEIDING,56003,1001O5805,114A561,BACHELOR,180,Leiden,NLD,,1,Classics | Griekse en Latijnse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Informatica,Informatica,Computer Science,Universiteit Leiden,OPLEIDING,56978,1001O6169,114A561,BACHELOR,180,Leiden,NLD,,1,Computer Science | Informatica,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
International Studies,International Studies,International Studies,Universiteit Leiden,OPLEIDING,59316,1001O6229,114A561,BACHELOR,180,'s-Gravenhage,ENG,,1,International Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Italiaanse Taal en Cultuur,Italiaanse Taal en Cultuur,,Universiteit Leiden,OPLEIDING,56809,1001O6023,114A561,BACHELOR,180,Leiden,NLD,,1,Italiaanse Taal en Cultuur | Italian Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Japanstudies,Japanstudies,Japanese Studies,Universiteit Leiden,OPLEIDING,56819,1001O6039,114A561,BACHELOR,180,Leiden,NLD,,1,Japanese Studies | Japanstudies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Koreastudies,Koreastudies,Korean Studies,Universiteit Leiden,OPLEIDING,56820,1001O6040,114A561,BACHELOR,180,Leiden,NLD,,1,Korean Studies | Koreastudies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstgeschiedenis,Kunstgeschiedenis,,Universiteit Leiden,OPLEIDING,56824,1001O6048,114A561,BACHELOR,180,Leiden,NLD,,1,Art History | Kunstgeschiedenis,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Latijns-Amerikastudies,Latijns-Amerikastudies,Latin American Studies,Universiteit Leiden,OPLEIDING,56052,1001O5831,114A561,BACHELOR,180,Leiden,NLD,,1,Latijns-Amerikastudies | Latin American Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Liberal Arts and Sciences: Global Challenges,Liberal Arts and Sciences: Global Challenges,,Universiteit Leiden,OPLEIDING,50429,1001O5696,114A561,BACHELOR,180,'s-Gravenhage,ENG,,1,Liberal Arts and Sciences: Global Challenges,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Midden-Oostenstudies,Midden-Oostenstudies,Middle Eastern Studies,Universiteit Leiden,OPLEIDING,56098,1001O5846,114A561,BACHELOR,180,Leiden,NLD,,1,Midden-Oostenstudies | Middle Eastern Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Molecular Science and Technology (joint degree),Molecular Science and Technology (joint degree),,Universiteit Leiden,OPLEIDING,55009,1001O5791,114A561,BACHELOR,180,Leiden,NLD,,1,Molecular Science and Technology (joint degree),,,2026-08-21,DUO RIO HO Opleidingsoverzicht
