ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,ERKENNER,NAAM_LANG,INTERNATIONALE_NAAM,BEGINDATUM,EINDDATUM,NIVEAU,GRAAD,STUDIELAST,EQF,NLQF,WAARDEDOCUMENTSOORT,PENVOERDER,EIGENNAAM,EIGENNAAM_DUITS,EIGENNAAM_ENGELS,VORM,VOERTAAL,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,DEFICIENTIE,EISEN_WERKZAAMHEDEN,PROPEDEUTISCHE_FASE,STUDIEKEUZECHECK,VERSNELD_TRAJECT,AANGEBODEN_OPLEIDINGCODE,EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIESTRAAT,ONDERWIJSLOCATIEPLAATS,OMSCHRIJVING
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5711,50645,,NVAO,Bedrijfskunde,Business Administration,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Bedrijfskunde,,,VOLTIJD,NLD,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,f25f1b86-400e-4a61-aa61-016f79febb1d,f25f1b86-400e-4a61-aa61-016f79febb1d,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5725,50700,,NVAO,Rechtsgeleerdheid,Dutch Law,2009-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Rechtsgeleerdheid,,,VOLTIJD,NLD,2009-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,048b86d5-80b4-47c6-b575-2978bc2c9676,048b86d5-80b4-47c6-b575-2978bc2c9676,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5725,50700,,NVAO,Rechtsgeleerdheid,Dutch Law,2009-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Rechtsgeleerdheid,,,VOLTIJD,NLD,2009-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,9b40f5fa-8bae-4ebc-a6dd-7fef966024ff,9b40f5fa-8bae-4ebc-a6dd-7fef966024ff,114X067,Wirdumerdijk,Leeuwarden,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5751,50902,,NVAO,Religiewetenschappen,Religious Studies,2014-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Religiewetenschappen,,,VOLTIJD,ENG,2014-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,1ae42d82-855c-4125-8003-9e75ec2d1418,1ae42d82-855c-4125-8003-9e75ec2d1418,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5751,50902,,NVAO,Religiewetenschappen,Religious Studies,2014-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Religiewetenschappen,,,VOLTIJD,NLD,2014-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,e8c968b9-ccc9-4d44-9583-ec3d6611faf4,e8c968b9-ccc9-4d44-9583-ec3d6611faf4,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5757,50906,,NVAO,Media en Cultuur,Media Studies,2015-03-31,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Media en Cultuur,,,VOLTIJD,ENG,2015-03-31,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,046b499c-6c6e-406e-a89d-7b12857ebf4d,046b499c-6c6e-406e-a89d-7b12857ebf4d,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5761,50950,,NVAO,Economie en Bedrijfseconomie,Economics and Business Economics,2009-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Economie en Bedrijfseconomie,,,VOLTIJD,ENG,2009-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,a4d4cf7e-8e74-41fc-a8a3-4c66cc26b871,a4d4cf7e-8e74-41fc-a8a3-4c66cc26b871,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5774,50974,,NVAO,Human Geography and Planning,Human Geography and Planning,2020-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Human Geography and Planning,,,VOLTIJD,ENG,2020-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,3c9ac13b-3f3a-40f7-93d4-277ac2b1ba0a,3c9ac13b-3f3a-40f7-93d4-277ac2b1ba0a,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5806,56003,,NVAO,Griekse en Latijnse Taal en Cultuur,Classics,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Griekse en Latijnse Taal en Cultuur,,,VOLTIJD,NLD,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,732193a9-b696-4e7b-a9a0-58d9a21d9cb0,732193a9-b696-4e7b-a9a0-58d9a21d9cb0,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5810,56012,,NVAO,Minorities & Multilingualism,Minorities & Multilingualism,2002-09-01,2031-09-01,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Minorities & Multilingualism,,,VOLTIJD,ENG,2002-09-01,2030-09-01,,2026-09-01,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,d3f89b01-47e8-45a6-9784-af4673f05905,d3f89b01-47e8-45a6-9784-af4673f05905,114X066,Broerstraat,Groningen,
