source_excel_row,source_registry_offering_count,AANGEBODEN_OPLEIDINGCODE,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,SOORT,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,NAAM_LANG,INTERNATIONALE_NAAM,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,BEGINDATUM,EINDDATUM,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIEPLAATS,raw_record_count,raw_csv_rows_json,raw_conflict_fields_json,raw_conflict_values_json
14,2,0cda5cdf-a83d-248e-e063-6ff1ff0a9669,1015O5167,,56081,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Filosofie,Philosophy,Filosofie,DEELTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/filosofie/aansluitende-masters,,,,,1,[6063],[],{}
15,1,585a2167-fabe-49d0-a8ca-5604f70d5fe1,1016O6103,,56081,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,RASL Dual Degree Philosophy en WdKA,RASL Dual Degree Philosophy and WdKA,Filosofie (met Willem de Kooning Academy),VOLTIJD,NLD,180,,,2026-02-03,,2026-09-01,,,,,,,1,[6143],[],{}
16,1,0cda5cdf-a844-248e-e063-6ff1ff0a9669,1001O6216,57084,,OPLEIDING,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Filosofie van een Bepaald Wetenschapsgebied,Philosophy of a Specific Discipline,Filosofie van een Bepaald Wetenschapsgebied,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/bachelor-philosophy-specific-discipline,,,,,1,[5975],[],{}
17,2,0bad61cb-023d-5d99-e063-6ff1ff0aab5f,1001O6063,56827,,OPLEIDING,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Fiscaal Recht,Tax Law,Fiscaal Recht,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/fiscaal-recht,,,,,1,[5974],[],{}
17,2,0cda5cdf-a7f7-248e-e063-6ff1ff0a9669,1001O6063,56827,,OPLEIDING,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Fiscaal Recht,Tax Law,Fiscaal Recht,DEELTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/fiscaal-recht,,,,,1,[5973],[],{}
18,1,0bad51c1-b436-4e64-e063-6ff1ff0aea47,1015O5170,,56402,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Fiscale Economie,Economics and Taxation,Fiscale Economie,VOLTIJD,NLD,180,,,2002-09-01,2029-08-31,2025-09-01,,https://www.eur.nl/bachelor/fiscale-economie,,,,,1,[6065],[],{}
19,1,0c3c9cab-3b7a-5b69-e063-6ff1ff0ab90b,1015O5175,,56551,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Geneeskunde,Medicine,Geneeskunde,VOLTIJD,NLD,180,,,2008-09-01,,2026-09-01,,https://www.eur.nl/bachelor/geneeskunde,,,,,1,[6066],[],{}
20,1,0cda5cdf-a7fe-248e-e063-6ff1ff0a9669,1015O5165,,56034,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Geschiedenis,History,Geschiedenis,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/geschiedenis,,,,,1,[6061],[],{}
21,1,0bad61cb-01dc-5d99-e063-6ff1ff0aab5f,1015O5176,,56553,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Gezondheidswetenschappen,Health Policy & Management,Gezondheidswetenschappen,VOLTIJD,NLD,180,,,2002-09-08,,2026-09-01,,https://www.eur.nl/eshpm/bachelor/gezondheidswetenschappen-beleid-management-gezondheidszorg-bmg,,,,,1,[6067],[],{}
22,1,0cda5cdf-a805-248e-e063-6ff1ff0a9669,1015O5184,,56823,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,International Bachelor Arts and Culture Studies,International Bachelor Arts and Culture Studies,International Bachelor Arts and Culture Studies,VOLTIJD,ENG,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/en/bachelor/international-bachelor-arts-and-culture-studies,,,,,1,[6074],[],{}
23,1,0cda5cdf-a80c-248e-e063-6ff1ff0a9669,1015O5157,,50374,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Communication and Media,Communication and Media,International Bachelor Communication and Media,VOLTIJD,ENG,180,,,2009-09-01,,2026-09-01,,https://www.eur.nl/en/bachelor/international-bachelor-communication-and-media,,,,,1,[6053],[],{}
24,1,0bad61cb-0252-5d99-e063-6ff1ff0aab5f,1015O5188,,56833,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,International Bachelor Econometrics and Operations Research,International Bachelor Econometrics and Operations Research,International Bachelor Econometrics and Operations Research,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,,,,,,1,[6076],[],{}
25,1,0bac182b-82aa-5088-e063-6ff1ff0a75e4,1015O5162,,50950,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,International Bachelor Economics and Business Economics,International Bachelor Economics and Business Economics,International Bachelor Economics and Business Economics,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/international-bachelor-economics-and-business-economics,,,,,1,[6058],[],{}
26,1,0bac182b-82cc-5088-e063-6ff1ff0a75e4,1015O5166,,56034,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Internationale Bachelor Geschiedenis,International Bachelor History,International Bachelor History,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/international-bachelor-history,,,,,1,[6062],[],{}
27,1,0c4d7e3e-b044-4de4-e063-6ff1ff0ac940,1015O5920,,56604,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,International Bachelor of Psychology,International Bachelor of Psychology,International Bachelor of Psychology,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/international-bachelor-psychology,,,,,1,[6103],[],{}
28,1,0bac182b-82ba-5088-e063-6ff1ff0a75e4,1015O5164,,50952,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,International Business Administration,International Business Administration,International Business Administration,VOLTIJD,ENG,180,,,2002-09-01,,2025-09-01,,https://www.eur.nl/en/bachelor/bachelor-international-business-administration,,,,,1,[6060],[],{}
29,2,0cda5cdf-a7f0-248e-e063-6ff1ff0a9669,1001O5682,50393,,OPLEIDING,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,VOLTIJD,ENG,180,2012-10-15,,2012-10-15,,2026-09-01,,https://www.eur.nl/en/bachelor/liberal-arts-and-sciences,,,,,1,[5971],[],{}
29,2,fe068847-5f37-4cd2-b244-bdb98f3e0f96,1001O5682,50393,,OPLEIDING,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,VOLTIJD,ENG,180,2012-10-15,,2012-10-15,,2025-09-01,,,,,,,1,[5970],[],{}
30,2,0bac182b-8294-5088-e063-6ff1ff0a75e4,1015O5160,,50700,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Rechtsgeleerdheid,Law,Rechtsgeleerdheid,VOLTIJD,NLD,180,,,2009-09-01,,2026-09-01,,https://www.eur.nl/bachelor/rechtsgeleerdheid/aansluitende-masters,,,,,1,[6056],[],{}
30,2,0cda5cdf-a81a-248e-e063-6ff1ff0a9669,1015O5160,,50700,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Rechtsgeleerdheid,Law,Rechtsgeleerdheid,DEELTIJD,NLD,180,,,2009-09-01,,2026-09-01,,https://www.eur.nl/bachelor/rechtsgeleerdheid/aansluitende-masters,,,,,1,[6055],[],{}
31,1,380880e7-2f3d-42f1-8351-0978f76eed5a,1015O6472,,56607,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,Academische Leraren Opleiding Pedagogische Wetenschappen,Academic Programme in Teaching Pedagogical Sciences,Academische Leraren Opleiding Pedagogische Wetenschappen,VOLTIJD,NLD,180,,,2012-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4315],[],{}
32,1,d5dd44ab-146c-4a79-8192-643b92988e3d,1015O6440,,56823,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Algemene Cultuurwetenschappen,Arts and Culture Studies,Algemene Cultuurwetenschappen,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3983],[],{}
33,1,ec93aa78-9a51-4984-bfd3-a8f72a613d04,1015O6457,,50290,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,American Studies,American Studies,American Studies,VOLTIJD,ENG,180,,,2021-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3988],[],{}
34,1,70132c6d-8164-4ebf-8988-776eb1f3e9ec,1001O6129,56945,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,VOLTIJD,ENG,180,2017-09-01,,2017-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4295],[],{}
35,1,84152ad3-625c-40ea-9872-d11c60843bd1,1015O6441,,56823,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Arts and Culture Studies,Arts and Culture Studies,Arts and Culture Studies,VOLTIJD,ENG,180,,,2016-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3984],[],{}
36,1,302d58f5-e0f4-4ccb-b3b9-40b01b1991b2,1016O1025,,50645,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,Bedrijfskunde,Business Administration,Bedrijfskunde,VOLTIJD,NLD,180,,,2009-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4088],[],{}
