source_excel_row,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,NAAM_LANG,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,EINDDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,LAATSTE_INSTROOMDATUM,flag_codes_json,needs_resolution,resolution_case_ids_json
25,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5162,,50950,International Bachelor Economics and Business Economics,International Bachelor Economics and Business Economics,VOLTIJD,ENG,180,,,,"[""variant_record""]",false,[]
26,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5166,,56034,Internationale Bachelor Geschiedenis,International Bachelor History,VOLTIJD,ENG,180,,,,"[""canonical_name_alias_present"",""variant_record""]",false,[]
27,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5920,,56604,International Bachelor of Psychology,International Bachelor of Psychology,VOLTIJD,ENG,180,,,,"[""variant_record""]",false,[]
28,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5164,,50952,International Business Administration,International Business Administration,VOLTIJD,ENG,180,,,,"[""variant_record""]",false,[]
29,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,OPLEIDING,1001O5682,50393,,Liberal Arts and Sciences,Liberal Arts and Sciences,VOLTIJD,ENG,180,,,,"[""multi_offering_administrative_only_candidate"",""multiple_offerings""]",false,[]
30,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5160,,50700,Rechtsgeleerdheid,Rechtsgeleerdheid,DEELTIJD | VOLTIJD,NLD,180,,,,"[""multi_offering_administrative_only_candidate"",""multiple_modes"",""multiple_offerings"",""variant_record""]",false,[]
31,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,VARIANT,1015O6472,,56607,Academische Leraren Opleiding Pedagogische Wetenschappen,Academische Leraren Opleiding Pedagogische Wetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
32,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6440,,56823,Algemene Cultuurwetenschappen,Algemene Cultuurwetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
33,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6457,,50290,American Studies,American Studies,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
34,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O6129,56945,,Artificial Intelligence,Artificial Intelligence,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
35,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6441,,56823,Arts and Culture Studies,Arts and Culture Studies,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
36,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,VARIANT,1016O1025,,50645,Bedrijfskunde,Bedrijfskunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
37,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,1001O5969,56627,,Bestuurskunde,Bestuurskunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
38,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6234,59325,,Biology,Biologie,VOLTIJD,ENG,180,,,,"[""canonical_name_alias_present"",""missing_website"",""provider_differs_from_board""]",false,[]
39,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A126,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,OPLEIDING,1001O6208,56990,,Biomedische Wetenschappen,Biomedische Wetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
40,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6449,,56826,Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
41,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O5961,56615,,Communicatiewetenschap,Communicatiewetenschap,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
42,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O5655,50035,,Culturele Antropologie en Ontwikkelingssociologie,Culturele Antropologie en Ontwikkelingssociologie,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
43,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,1001O6009,56805,,Duitse Taal en Cultuur,Duitse Taal en Cultuur,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
44,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,VARIANT,1016O1029,,50950,Economics and Business Economics,Economics and Business Economics,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
45,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,VARIANT,1016O1030,,50950,Economie en Bedrijfseconomie,Economie en Bedrijfseconomie,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
46,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6456,,50290,English Language and Culture,English Language and Culture,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
47,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A123,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,OPLEIDING,1001O5640,50017,,European Law School,European Law School,VOLTIJD,NLD,180,2027-09-01,,,"[""lifecycle_marker"",""missing_website"",""provider_differs_from_board""]",true,"[""rc-0005""]"
48,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,VARIANT,1015O6459,,56081,Filosofie,Filosofie,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
49,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6482,,56074,Franse Taal en Cultuur,Franse Taal en Cultuur,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
