case_id,case_type,priority,source_excel_rows_json,offering_ids_json,programme_unit_codes_json,programme_names_json,providers_json,trigger_fields_json,details_json,research_likely,status
rc-0074,programme-unit-reused-across-source-rows,P1,"[120,121]","[""801e07a1-fac2-4d6c-b283-2dc654ccfd2c"",""c619837a-5628-4312-b0cf-7fa49962fcc5""]","[""1001O5941""]","[""Politicologie""]","[""VU - Vrije Universiteit Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[120,121],""modes"":{""120"":""VOLTIJD"",""121"":""VOLTIJD""},""languages"":{""120"":""ENG"",""121"":""NLD""},""names"":{""120"":""Politicologie"",""121"":""Politicologie""}}",true,pending
rc-0075,programme-unit-reused-across-source-rows,P1,"[438,439]","[""2a94e6ea-bf89-4ba7-b221-7be5c59a3367"",""ad87eb0d-2f14-44a7-bddd-e7aba90a3a2f""]","[""1001O5947""]","[""Pedagogische Wetenschappen""]","[""Universiteit van Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[438,439],""modes"":{""438"":""VOLTIJD"",""439"":""VOLTIJD""},""languages"":{""438"":""NLD"",""439"":""NLD""},""names"":{""438"":""Pedagogische Wetenschappen"",""439"":""Pedagogische Wetenschappen""}}",true,pending
rc-0076,programme-unit-reused-across-source-rows,P1,"[399,415]","[""38ecb419-e488-472b-874e-7961aff154ab"",""e28df739-fd5a-4962-8bae-287077a3b259""]","[""1001O5959""]","[""Communicatiewetenschap""]","[""Universiteit van Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[399,415],""modes"":{""399"":""VOLTIJD"",""415"":""VOLTIJD""},""languages"":{""399"":""NLD"",""415"":""ENG""},""names"":{""399"":""Communicatiewetenschap"",""415"":""Communicatiewetenschap""}}",true,pending
rc-0077,programme-unit-reused-across-source-rows,P1,"[92,93]","[""492cf5b7-8a2a-430f-90fe-9485f79d12c4"",""7fc2e861-5f38-46fb-b85e-4dd564a29527""]","[""1001O5960""]","[""Communicatiewetenschap""]","[""VU - Vrije Universiteit Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[92,93],""modes"":{""92"":""VOLTIJD"",""93"":""VOLTIJD""},""languages"":{""92"":""NLD"",""93"":""ENG""},""names"":{""92"":""Communicatiewetenschap"",""93"":""Communicatiewetenschap""}}",true,pending
rc-0078,programme-unit-reused-across-source-rows,P1,"[420,421]","[""8ab1d947-10ed-49e1-be37-cb73de3f8861"",""a03e2629-a352-4eeb-baaf-85f2423695d2""]","[""1001O6097""]","[""Informatiekunde""]","[""Universiteit van Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[420,421],""modes"":{""420"":""VOLTIJD"",""421"":""VOLTIJD""},""languages"":{""420"":""NLD"",""421"":""NLD""},""names"":{""420"":""Informatiekunde"",""421"":""Informatiekunde""}}",true,pending
rc-0079,programme-unit-reused-across-source-rows,P1,"[89,90]","[""82668260-7bb1-4df7-a78e-58e997ad50b5"",""9462caa7-abc2-4ee7-bcb4-b8c63dee5b8d""]","[""1001O6110""]","[""Business Analytics""]","[""VU - Vrije Universiteit Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[89,90],""modes"":{""89"":""VOLTIJD"",""90"":""DEELTIJD""},""languages"":{""89"":""ENG"",""90"":""ENG""},""names"":{""89"":""Business Analytics"",""90"":""Business Analytics""}}",true,pending
rc-0080,programme-unit-reused-across-source-rows,P1,"[418,419]","[""471bcc5c-8d13-4638-8011-4ed9e23359b3"",""e5ebc562-ca67-42c1-8d8a-6b3cfdadd071""]","[""1001O6172""]","[""Informatica""]","[""Universiteit van Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[418,419],""modes"":{""418"":""VOLTIJD"",""419"":""VOLTIJD""},""languages"":{""418"":""NLD"",""419"":""NLD""},""names"":{""418"":""Informatica"",""419"":""Informatica""}}",true,pending
rc-0081,programme-unit-reused-across-source-rows,P1,"[456,457]","[""6fb89557-3029-465f-8b77-f295fa42a157"",""8dd9af7e-f358-48fd-a806-d029248873af""]","[""1001O6179""]","[""Wiskunde""]","[""Universiteit van Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[456,457],""modes"":{""456"":""VOLTIJD"",""457"":""VOLTIJD""},""languages"":{""456"":""NLD"",""457"":""NLD""},""names"":{""456"":""Wiskunde"",""457"":""Wiskunde""}}",true,pending
rc-0082,programme-unit-reused-across-source-rows,P1,"[112,113]","[""44db7501-62ed-4d02-ace4-95480fd96ef4"",""e07f169b-eaa6-4fd7-aaeb-23aeed81b942""]","[""1001O6232""]","[""Mathematics""]","[""VU - Vrije Universiteit Amsterdam""]","[""OPLEIDINGSEENHEIDCODE""]","{""source_rows"":[112,113],""modes"":{""112"":""VOLTIJD"",""113"":""DEELTIJD""},""languages"":{""112"":""ENG"",""113"":""ENG""},""names"":{""112"":""Mathematics"",""113"":""Mathematics""}}",true,pending
rc-0083,known-first-batch-identity-anomaly,P1,[2],"[""0cda5cdf-a7d9-248e-e063-6ff1ff0a9669""]","[""1015O5181""]","[""Academische Pabo""]","[""Erasmus Universiteit Rotterdam""]","[""programme_identity""]","{""note"":""First production batch established that the current student-facing programme identity does not cleanly match this registry representation; resolve in the research stage.""}",true,pending
