case_id,case_type,priority,source_excel_rows_json,offering_ids_json,programme_unit_codes_json,programme_names_json,providers_json,trigger_fields_json,details_json,research_likely,status
rc-0042,programme-lifecycle-review,P2,[325],"[""2a8b67fc-e8eb-4845-a1b1-2f11864f7170"",""3420ec7c-ba55-4c48-9ddd-ac41f209c0b0""]","[""1001O6067""]","[""Notarieel Recht""]","[""Universiteit Leiden""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2031-08-31""]}",true,pending
rc-0043,multiple-locations-in-source-row,P1,[328],"[""0ba7c2f3-63cb-4e02-813f-abc71688802f"",""ef79d6dd-18b5-46f5-aa58-7e95d38c4138""]","[""1001O5939""]","[""Politicologie""]","[""Universiteit Leiden""]","[""ONDERWIJSLOCATIECODE"",""ONDERWIJSLOCATIEPLAATS""]","{""ONDERWIJSLOCATIECODE"":[""114X175"",""114X176""],""ONDERWIJSLOCATIEPLAATS"":[""'s-Gravenhage"",""Leiden""]}",true,pending
rc-0044,programme-lifecycle-review,P2,[330],"[""4d5b3ac7-9c43-4696-bfde-02ec758cb4c9"",""9f454950-1598-4f30-9472-eaad8d2011cb""]","[""1001O5724""]","[""Rechtsgeleerdheid""]","[""Universiteit Leiden""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2031-08-31""]}",true,pending
rc-0045,missing-core-registry-metadata,P1,[340],"[""378a7b38-6d8e-4e6f-8050-7d9af08a60d6""]","[""1015O6816""]","[""Bachelor Civil Engineering""]","[""Universiteit Twente""]","[""STUDIELAST"",""VARIANT_VAN""]","{""missing_fields"":[""STUDIELAST"",""VARIANT_VAN""]}",true,pending
rc-0046,multiple-languages-in-source-row,P1,[390],"[""1df36934-4bdf-4a60-90df-20739ffdc3c7"",""f3749f99-6a24-41cf-8386-298f1fb54a06""]","[""1001O5889""]","[""Actuariële Wetenschappen""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0047,multiple-languages-in-source-row,P1,[392],"[""9d8a6a84-94bd-41a3-8d3a-359980448143"",""cd831aad-7a2c-428b-8bd3-97bb38b428bc""]","[""1001O5980""]","[""Archeologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0048,multiple-languages-in-source-row,P1,[395],"[""42b7c0d9-863c-432f-97c7-295ffa99990b"",""999c4bba-abe8-4069-95c2-390361eeba8f""]","[""1001O5748""]","[""Business Administration""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0049,multiple-languages-in-source-row,P1,[401],"[""27133d09-ca94-4d70-934d-4b0db4e5daf5"",""a0272e06-7b1a-4f0a-b6d2-fea2838ae767""]","[""1001O5653""]","[""Culturele Antropologie en Ontwikkelingssociologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0050,multiple-languages-in-source-row,P1,[402],"[""2b5524e8-35c1-4920-ac16-6577b8c74547"",""ce1ff09d-b533-4b62-b0f2-fe93332d57b8""]","[""1001O5623""]","[""Cultuurwetenschappen""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0051,multiple-languages-in-source-row,P1,[404],"[""63a7f897-c4cc-4a32-80f8-b0fa4b83f8cf"",""bac6aef9-e05a-4616-85fc-452db1e421f9""]","[""1001O6240""]","[""Econometrics and Data Science""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0052,multiple-languages-in-source-row,P1,[405],"[""10b961de-2004-4b27-9ccc-4ae51842452d"",""fc877a6f-d277-4534-9ae7-d8ae000235ec""]","[""1001O6230""]","[""Economics and Business Economics""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0053,multiple-languages-in-source-row,P1,[407],"[""258bf8f7-6a62-4880-94e5-bb62b1e8de31"",""4ea8d232-54d8-46e0-8f76-8fa52951a6ca""]","[""1001O5830""]","[""Europese Studies""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0054,multiple-languages-in-source-row,P1,[429],"[""252f409e-9857-489c-99b0-43a9837b3e1e"",""27d8e360-40ab-480e-913f-f9c35a7e872c""]","[""1001O5759""]","[""Media en Cultuur""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0055,special-programme-structure-review,P1,[432],"[""2598755b-a567-4722-850b-6d3b0c10bd71""]","[""1001O5797""]","[""Natuur- en Sterrenkunde (joint degree)""]","[""Universiteit van Amsterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[""111A136""]}",true,pending
rc-0056,special-programme-structure-review,P1,[433],"[""4e60cabd-e7d7-43b9-b7d9-b54cf857e71b""]","[""1001O5797""]","[""Natuur- en Sterrenkunde (joint degree)""]","[""Universiteit van Amsterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0057,multiple-languages-in-source-row,P1,[437],"[""83487458-5b66-41a1-a8d3-f8d6aba51d15"",""db6e3afc-535d-477e-932e-3b8b1b7e8090""]","[""1001O5982""]","[""Oudheidwetenschappen""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0058,multiple-languages-in-source-row,P1,[440],"[""49a012b7-3c49-4945-8573-2ac9dde76bdc"",""c5b405f6-5258-4b20-b3d7-0e2b55bfc8bc""]","[""1001O5940""]","[""Politicologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0059,multiple-languages-in-source-row,P1,[443],"[""f82c5251-8e40-43e8-9665-f38eabb95cb6"",""fa040681-37c6-4aff-b334-f52257f062e8""]","[""1001O5934""]","[""Psychologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0060,special-programme-structure-review,P1,[447],"[""574bca6e-fdfb-4670-88e0-eef026f06a39""]","[""1001O5795""]","[""Scheikunde (joint degree)""]","[""Universiteit van Amsterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[""111A136""]}",true,pending
rc-0061,special-programme-structure-review,P1,[448],"[""fd9b4604-7567-4e74-bcae-a872e1c6a9c6""]","[""1001O5795""]","[""Scheikunde (joint degree)""]","[""Universiteit van Amsterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0062,multiple-languages-in-source-row,P1,[451],"[""4b74d296-8c7a-462e-8c2b-81464a559e45"",""e6c6504d-91a8-4dc4-b1de-798cab94a09c""]","[""1001O6090""]","[""Sociale Geografie en Planologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0063,multiple-languages-in-source-row,P1,[452],"[""ba02666c-1cb9-4bc4-a00b-150ed4601cfb"",""c471d586-ef99-4ee3-ad95-c217eaf7df55""]","[""1001O5924""]","[""Sociologie""]","[""Universiteit van Amsterdam""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
